127.0.0.1 - - [09/Jan/2024:15:52:01 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:02 +0700] "GET /fruit_shop/index.html HTTP/1.1" 200 85713
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/lib/lightbox/css/lightbox.min.css HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/css/bootstrap.min.css HTTP/1.1" 200 166446
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/hero-img-1.png HTTP/1.1" 200 113538
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/hero-img-2.jpg HTTP/1.1" 200 75084
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/css/style.css HTTP/1.1" 200 9918
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/fruite-item-2.jpg HTTP/1.1" 200 48392
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/fruite-item-5.jpg HTTP/1.1" 200 26857
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/js/main.js HTTP/1.1" 200 3767
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/fruite-item-4.jpg HTTP/1.1" 200 35753
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/fruite-item-3.jpg HTTP/1.1" 200 26051
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/lib/lightbox/js/lightbox.min.js HTTP/1.1" 200 9754
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/featur-3.jpg HTTP/1.1" 200 47885
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/fruite-item-6.jpg HTTP/1.1" 200 30486
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/vegetable-item-6.jpg HTTP/1.1" 200 35535
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/vegetable-item-1.jpg HTTP/1.1" 200 26589
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/fruite-item-1.jpg HTTP/1.1" 200 38581
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/featur-1.jpg HTTP/1.1" 200 30070
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/best-product-1.jpg HTTP/1.1" 200 50060
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/vegetable-item-4.jpg HTTP/1.1" 200 13168
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/best-product-2.jpg HTTP/1.1" 200 60058
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/vegetable-item-5.jpg HTTP/1.1" 200 24201
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/best-product-3.jpg HTTP/1.1" 200 31701
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/best-product-5.jpg HTTP/1.1" 200 30441
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/featur-2.jpg HTTP/1.1" 200 32809
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/testimonial-1.jpg HTTP/1.1" 200 3781
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/best-product-6.jpg HTTP/1.1" 200 39945
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:03 +0700] "GET /fruit_shop/img/vegetable-item-3.png HTTP/1.1" 200 56672
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:04 +0700] "GET /fruit_shop/img/hero-img.jpg HTTP/1.1" 200 21465
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:04 +0700] "GET /fruit_shop/img/payment.png HTTP/1.1" 200 3686
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:04 +0700] "GET /fruit_shop/img/baner-1.png HTTP/1.1" 200 107781
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:04 +0700] "GET /fruit_shop/img/best-product-4.jpg HTTP/1.1" 200 46547
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:04 +0700] "GET /fruit_shop/lib/lightbox/images/loading.gif HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:04 +0700] "GET /fruit_shop/lib/lightbox/images/next.png HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:04 +0700] "GET /fruit_shop/lib/lightbox/images/close.png HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:04 +0700] "GET /fruit_shop/lib/lightbox/images/prev.png HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:05 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:08 +0700] "GET /fruit_shop/cart.html HTTP/1.1" 200 23496
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:09 +0700] "GET /fruit_shop/img/cart-page-header-img.jpg HTTP/1.1" 200 37306
0:0:0:0:0:0:0:1 - - [09/Jan/2024:15:52:09 +0700] "GET /fruit_shop/img/vegetable-item-2.jpg HTTP/1.1" 200 44875
